category,channel_title,channel_id,channel_url,top_views,sample_title,status
기타,소개팁 IntroTip,UC3CELODQnl5pGSWyS3OmMOA,https://www.youtube.com/channel/UC3CELODQnl5pGSWyS3OmMOA,1104578,비싸게 살 필요 없는 이유,이미있음
기타,Home Deco Lab,UC4kLXUHTHoBgOwCs8S7dJjQ,https://www.youtube.com/channel/UC4kLXUHTHoBgOwCs8S7dJjQ,1078899,"베란다나 마당 바꾸고 싶다면, 이 데크타일 하나로 분위기가 확 달라집니다",이미있음
기타,오늘의 라이프,UCiIkbHb3fuS3raYybl775jA,https://www.youtube.com/channel/UCiIkbHb3fuS3raYybl775jA,936468,이정현이 알려준 세탁실 정리템 #이정현,이미있음
기타,행복한 시니어통,UCvFhSjuB8xztOd09KIQXXkw,https://www.youtube.com/channel/UCvFhSjuB8xztOd09KIQXXkw,535381,30도 넘으면 냉장고 &#39;이것&#39; 안 버리면 결국 병원비로 다 나갑니다 #노후현실 #냉장고관리,이미있음
기타,홈스타일러스,UCJGzyTaZouEo5-DtsusMjwg,https://www.youtube.com/channel/UCJGzyTaZouEo5-DtsusMjwg,442748,후회없는 좁은집 현관 인테리어 필수템,이미있음
기타,유럽청년,UChMHcSJVUaSh_UG53inPPyg,https://www.youtube.com/channel/UChMHcSJVUaSh_UG53inPPyg,425153,벽에 이러는건 처음 봤어요✨ #집꾸미기,이미있음
기타,1분다이어터 1mindiet,UC6SPnHQjJHav4ulmZLiaZ8A,https://www.youtube.com/channel/UC6SPnHQjJHav4ulmZLiaZ8A,385792,-15kg 감량한 다이어터 일주일 밀프렙 만들기 🍙 #asmr #mealprep,이미있음
기타,하씨,UCAimNx17PoVgIyl8WTJ4Kew,https://www.youtube.com/channel/UCAimNx17PoVgIyl8WTJ4Kew,338022,자취생의 초간단 냉털 마라샹궈 만들기,이미있음
기타,홈그래피,UCTnZvrXO2BZJKGKV8eZKyVw,https://www.youtube.com/channel/UCTnZvrXO2BZJKGKV8eZKyVw,325720,간단하게 집 분위기 확 바꿔버리기 #벽지스티커 #셀프인테리어,이미있음
기타,먹구멍 muk_9mung,UC1lpMB1gE4xNq785VyHwbQA,https://www.youtube.com/channel/UC1lpMB1gE4xNq785VyHwbQA,170071,식당에서 몰래 쓰는 면요리 비법 TOP3,이미있음
기타,지멋,UC62lgjnT7UHoyYsHrpcrc2Q,https://www.youtube.com/channel/UC62lgjnT7UHoyYsHrpcrc2Q,160614,세상이 나를 속이고 있나,이미있음
기타,셀럽이냥,UCzeCNYb2wtwlZmmO8CEs6pg,https://www.youtube.com/channel/UCzeCNYb2wtwlZmmO8CEs6pg,157187,살빠지는데 진짜 맛있는 닭가슴살 레시피❣️(fea. #한고은),이미있음
기타,밀착템,UCotQUXki2T0akzg1C4tTbRg,https://www.youtube.com/channel/UCotQUXki2T0akzg1C4tTbRg,138604,커튼 필요 없어요! ✨ 창틀에 딱 붙이는 초간편 블라인드 #셀프인테리어 #블라인드 #창문꾸미기 #집꾸미기 #,이미있음
기타,지혜人TV,UCT8fH9yl9rImtFYGi-TY3zw,https://www.youtube.com/channel/UCT8fH9yl9rImtFYGi-TY3zw,127351,냉장고 안전하지 않아요! 이것 있다면 당장 버리세요 (냉장고 속 위험한 음식 10가지),이미있음
기타,슈스스TV,UC5W3wHMAkp6b_8HrhReP5aQ,https://www.youtube.com/channel/UC5W3wHMAkp6b_8HrhReP5aQ,114342,너무 예쁘다... 이 집 저 주세요.,이미있음
기타,지디노 살림,UC4Sz7v5viqjDVZ-u4aw03gw,https://www.youtube.com/channel/UC4Sz7v5viqjDVZ-u4aw03gw,113465,냉장고청소 1년째 안하는 이유🤔 #냉장고청소#냉장고관리법 #살림꿀팁 #초보주부,이미있음
기타,집꾸덕,UCTlLQCxa5AeR8wtNqKVaf1w,https://www.youtube.com/channel/UCTlLQCxa5AeR8wtNqKVaf1w,111226,29살에 집이 생겼다 #집꾸미기 #커플 #shots #shortvideo,이미있음
기타,자취요리신 simple cooking,UCC9pQY_uaBSa0WOpMNJHbEQ,https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ,109261,이걸로 밥 2공기 무조건 먹습니다.,이미있음
