전사 4071편 / 145채널 분석 (n-gram 3~9어절, 채널 8개 이상)

고정 어구(뼈대)                                               편   채널       중앙조회
----------------------------------------------------------------------------
⬛ 수 있는                                                141   73     17,000
한 번에 ⬛                                                145   72     10,000
쓸 수 ⬛                                                 155   68      7,800
⬛ 쓸 수                                                 122   68     12,000
⬛ 근데 진짜                                               246   66     12,000
수 있는 ⬛                                                129   62     18,000
말도 안 ⬛                                                446   56      8,700
⬛ 이게 진짜                                               207   55     10,000
⬛ 쓸 수 ⬛                                                82   52     11,000
⬛ ⬛ 근데 진짜                                             120   48     11,000
⬛ ⬛ 수 있는                                               75   48     25,000
근데 진짜 ⬛                                               230   47     11,000
⬛ 수 있는 ⬛                                               70   47     18,000
말도 안 ⬛ ⬛                                              228   46      9,000
수 있는 ⬛ ⬛                                               73   46     19,000
한 번에 ⬛ ⬛                                               72   46      9,500
싹 다 ⬛                                                  64   46     14,000
⬛는 거 근데                                               225   45     19,000
⬛ ⬛ 이게 진짜                                             117   45     11,000
진짜 ⬛ 건                                                117   45      9,800
⬛는 거 심지어                                              116   45     17,000
더 ⬛ 건                                                 115   44      9,300
⬛ 수 있다는                                                92   44      8,500
⬛ ⬛ 쓸 수                                                59   43     14,000
이게 진짜 ⬛                                               108   42     15,000
⬛ 한 번에                                                 76   42     11,000
한 번 ⬛                                                  66   42     12,000
절대 안 ⬛                                                 64   41     11,000
이게 말도 안                                               272   40      9,000
⬛ 이건 바로                                               278   39     11,000
이게 말도 안 ⬛                                             270   39      9,000
이건 바로 ⬛                                               255   38     10,000
⬛ 이게 말도                                               244   38      9,000
⬛ 이게 말도 안                                             243   38      9,000
거 근데 진짜                                               188   38     17,000
근데 진짜 미친                                              155   38     15,000
⬛ 이게 말도 안 ⬛                                           241   37      9,000
진짜 미친 ⬛는                                              227   37     19,000
거 심지어 ⬛                                                83   37     17,000
쓸 수 ⬛ ⬛                                                62   37     12,000

★채널 수가 많을수록 장르 문법. 한 채널에 몰리면 그 채널 습관이다.
