username,followers,reels,avg_views,max_views,avg_comments,max_comments,avg_likes,last_upload_days,posts_per_week,verdict,error
1life_tem,0,12,5216,28142,69.2,225,35.5,204.0,7.6,ok,
1min.living,0,12,2958,7445,34.8,97,9.1,0.1,6.0,ok,
100art_official,0,12,158078,567013,2076.1,9393,657.9,15.8,0.2,ok,
0bong100,0,12,272,968,0.6,5,31.4,111.0,0.1,ok,
1min.pick,0,12,4812,7379,64.2,207,14.2,16.1,16.8,ok,
1min__livingpick,0,12,910,2456,2.1,5,2.2,0.0,7.6,ok,
1min_soldout,0,12,1935,8998,13.8,57,14.3,111.4,0.7,ok,
1min_lo,0,12,58438,662744,178.3,1787,110.1,0.1,16.8,ok,
1minsnack,0,12,141004,889055,37.4,265,500.3,2.3,8.4,ok,
1minute_honeytem,0,12,1736,3572,9.9,37,6.4,154.9,6.0,ok,
1sun17,0,8,41,61,0.8,2,6.9,906.6,0.3,ok,
20s_pick,0,12,9338,61081,43.6,278,31.1,1.1,9.3,ok,
217fashion_kr,0,12,132121,1327395,290.1,1808,108.8,18.2,0.5,ok,
2_zzangu,0,12,538,1419,20.3,57,8.2,3.0,6.0,ok,
2905_home,0,12,118365,277014,237.2,898,368.5,0.9,1.7,ok,
2floor.home,0,12,71479,249561,493.8,2605,304.2,2.1,1.0,ok,
2daero_recipe,0,6,2326,5868,55.7,112,31.0,0.0,8.4,ok,
365dailynote,0,12,33219,366202,1208.2,14113,197.1,9.5,0.8,ok,
3nam_fam,0,12,1926,4310,52.2,129,13.9,36.5,7.6,ok,
40brich,0,12,88955,762344,162.8,1786,163.8,167.0,0.5,ok,
3rabbit_us,0,12,61879,230549,1463.0,3460,362.2,3.0,2.3,ok,
4eu_pick,0,12,5048,11567,116.6,279,47.6,0.3,7.6,ok,
46month.kr,0,12,452718,2506068,41.3,208,15404.8,59.1,0.1,ok,
5bok_house,0,12,507607,3413165,2087.7,20405,3215.6,3.2,0.1,ok,
5bok_billion_home,0,12,137898,484063,826.4,3743,385.7,0.1,1.2,ok,
5452__home,0,12,1275032,11397450,560.8,2579,8764.6,0.1,0.2,ok,
5f.zip,0,12,766064,5828078,2256.8,14661,40743.2,0.3,0.4,ok,
7sosoyoung8,0,12,17373,106069,101.8,189,226.8,0.5,1.1,ok,
5s.shopping,0,12,5966,15611,21.6,56,10.6,0.0,42.0,ok,
____rorohome,0,12,9148,20907,60.2,420,22.6,3.4,1.7,ok,
___luckyhome,0,12,6395,65864,15.7,157,25.8,0.3,4.7,ok,
__heyhome,0,12,277235,1246229,1769.5,8608,1350.7,0.9,2.8,ok,
__flowo,0,12,1869,3680,81.6,205,35.5,0.5,7.6,ok,
__home.zip,0,12,144886,726189,667.8,4223,750.1,17.0,0.9,ok,
_amour_j,0,12,40476,89060,183.8,382,3.0,0.1,3.4,ok,
_bearnco_,0,12,134262,1293401,905.6,7996,73.2,1.5,0.5,ok,
_bestitem_,0,12,32934,181762,44.5,342,64.8,2.2,12.0,ok,
_bonihome_,0,12,32478,66551,433.2,1320,125.8,0.1,21.0,ok,
_bonihome__,0,12,17249,51881,383.3,1704,93.1,1.3,3.1,ok,
_chocohomee_,0,12,162624,486305,1205.2,9524,586.9,3.9,2.0,ok,
_beautyflowerrr_,,,,,,,,,,unknown,
_dami_home,0,12,1828,7693,11.8,28,8.3,7.3,1.6,ok,
_deco.with.me,0,12,9265,19035,132.1,457,33.1,198.5,2.8,ok,
_diet_.my,0,12,107739,310989,81.6,108,482.9,2.1,2.3,ok,
_good_good11,0,12,597,1708,35.6,59,26.1,80.7,0.5,ok,
_homefiinds,0,12,10202,89533,49.9,459,26.1,1.0,7.0,ok,
_ggultem.moa_,,,,,,,,,,unknown,
_itemhome_,0,12,400651,3091188,2316.7,20326,3295.6,2.1,0.2,ok,
