pick.json 사용 — unknown 2600 · known 406
전사 대상 3006편 (이미 받은 것 0편)
  10/3006  성공10 실패0
  20/3006  성공20 실패0
  30/3006  성공30 실패0
  40/3006  성공40 실패0
  50/3006  성공50 실패0
  60/3006  성공60 실패0
  70/3006  성공69 실패1
  80/3006  성공78 실패2
  90/3006  성공88 실패2
  100/3006  성공98 실패2
  110/3006  성공107 실패3
  120/3006  성공117 실패3
  130/3006  성공127 실패3
  140/3006  성공137 실패3
  150/3006  성공146 실패4
  160/3006  성공155 실패5
  170/3006  성공164 실패6
  180/3006  성공173 실패7
  190/3006  성공182 실패8
  200/3006  성공190 실패10
  210/3006  성공200 실패10
  220/3006  성공208 실패12
  230/3006  성공217 실패13
  240/3006  성공227 실패13
  250/3006  성공236 실패14
  260/3006  성공244 실패16
  270/3006  성공253 실패17
  280/3006  성공262 실패18
  290/3006  성공272 실패18
  300/3006  성공281 실패19
  310/3006  성공288 실패22
  320/3006  성공298 실패22
  330/3006  성공306 실패24
  340/3006  성공316 실패24
  350/3006  성공326 실패24
  360/3006  성공334 실패26
  370/3006  성공343 실패27
  380/3006  성공352 실패28
  390/3006  성공359 실패31
  400/3006  성공367 실패33
  410/3006  성공376 실패34
  420/3006  성공384 실패36
  430/3006  성공393 실패37
  440/3006  성공400 실패40
  450/3006  성공409 실패41
  460/3006  성공418 실패42
  470/3006  성공425 실패45
  480/3006  성공435 실패45
  490/3006  성공442 실패48
  500/3006  성공451 실패49
  510/3006  성공460 실패50
  520/3006  성공468 실패52
  530/3006  성공476 실패54
  540/3006  성공485 실패55
  550/3006  성공494 실패56
  560/3006  성공504 실패56
  570/3006  성공512 실패58
  580/3006  성공521 실패59
  590/3006  성공531 실패59
  600/3006  성공540 실패60
  610/3006  성공550 실패60
  620/3006  성공560 실패60
  630/3006  성공569 실패61
  640/3006  성공578 실패62
  650/3006  성공588 실패62
  660/3006  성공594 실패66
  670/3006  성공602 실패68
  680/3006  성공611 실패69
  690/3006  성공618 실패72
  700/3006  성공625 실패75
  710/3006  성공635 실패75
  720/3006  성공645 실패75
  730/3006  성공655 실패75
  740/3006  성공663 실패77
  750/3006  성공670 실패80
  760/3006  성공680 실패80
  770/3006  성공687 실패83
  780/3006  성공697 실패83
  790/3006  성공706 실패84
  800/3006  성공715 실패85
  810/3006  성공724 실패86
  820/3006  성공731 실패89
  830/3006  성공741 실패89
  840/3006  성공750 실패90
  850/3006  성공760 실패90
  860/3006  성공770 실패90
  870/3006  성공778 실패92
  880/3006  성공788 실패92
  890/3006  성공797 실패93
  900/3006  성공807 실패93
  910/3006  성공817 실패93
  920/3006  성공827 실패93
