채널ID,등급,상태,평균조회수,최대조회수,평균댓글,최대댓글,평균좋아요,마지막업로드(일전),주당업로드,주소
instagram,S,활성,109203201,200080105,13049.3,22691,686393.2,2.8,4.9,https://www.instagram.com/instagram/
zuck,S,활성,34326598,88255066,11866.0,34696,461877.2,4.7,0.2,https://www.instagram.com/zuck/
smartfindsss,S,활성,26501805,147456263,1807.5,14129,283357.0,0.7,0.1,https://www.instagram.com/smartfindsss/
gadget.life.withme,S,활성,19653398,138758165,5601.0,32976,256500.3,1.9,0.1,https://www.instagram.com/gadget.life.withme/
elena_nali,S,활성,19268023,106941815,1694.8,15685,454889.3,0.1,0.5,https://www.instagram.com/elena_nali/
creators,S,활성,17197817,33574868,1914.7,4512,75083.5,2.8,4.9,https://www.instagram.com/creators/
dannikafaith,S,활성,16647995,129135904,4867.4,30649,204234.8,1.8,0.1,https://www.instagram.com/dannikafaith/
elnazhamai,S,활성,13837230,68751299,6420.9,48337,150599.3,0.7,0.4,https://www.instagram.com/elnazhamai/
mandystarin,S,활성,8017888,69981189,3441.8,25765,120458.5,0.5,0.1,https://www.instagram.com/mandystarin/
jeffandlaurenshow,S,활성,7488918,74689201,1094.2,11512,162643.2,0.7,0.1,https://www.instagram.com/jeffandlaurenshow/
viralgadgets_studio,S,활성,7048685,50475508,1681.5,11024,64708.7,0.5,0.1,https://www.instagram.com/viralgadgets_studio/
mosseri,S,활성,6769901,13895066,2156.3,7348,30433.9,2.8,0.1,https://www.instagram.com/mosseri/
mad.mum_,S,활성,6091946,39270128,212.2,1114,15589.8,4.0,0.1,https://www.instagram.com/mad.mum_/
heybrittinirae,S,활성,5619144,22825097,4330.9,27030,31040.0,0.6,0.1,https://www.instagram.com/heybrittinirae/
stephaniegrime1,S,활성,4881197,55120461,2610.7,24227,87605.8,1.7,0.1,https://www.instagram.com/stephaniegrime1/
tiffany_williamson,S,활성,4640552,52358220,3052.4,22465,76584.2,7.4,0.1,https://www.instagram.com/tiffany_williamson/
yibi_cooooks,S,활성,4515883,37707004,543.8,1868,73698.6,1.5,0.1,https://www.instagram.com/yibi_cooooks/
want.zamora,S,활성,4513200,27268419,802.2,4967,217723.0,0.6,0.1,https://www.instagram.com/want.zamora/
ashleyvailxoxo,S,활성,4478146,42045462,87.4,562,301350.1,0.5,0.1,https://www.instagram.com/ashleyvailxoxo/
bungu.store,S,활성,4080013,20660446,449.3,1867,196732.4,2.6,0.1,https://www.instagram.com/bungu.store/
allwhite_style,S,활성,3068200,14079924,1988.1,13741,18448.7,9.0,0.1,https://www.instagram.com/allwhite_style/
onemiman_official,S,활성,2647892,9786042,928.5,5250,19673.8,1.1,0.1,https://www.instagram.com/onemiman_official/
reviewyanolza,S,활성,2498151,18915400,987.8,4451,13477.0,3.1,0.1,https://www.instagram.com/reviewyanolza/
mrskatiecarlson,S,활성,2277974,10532777,10518.9,69093,42790.3,2.8,0.2,https://www.instagram.com/mrskatiecarlson/
darimi_unni,S,활성,2229154,22620895,6905.5,22505,9794.9,1.3,0.1,https://www.instagram.com/darimi_unni/
matdori.world,S,활성,2145859,10523980,845.5,4224,6038.5,1.0,0.1,https://www.instagram.com/matdori.world/
okayu_life,S,활성,2059966,14090314,147.8,948,17638.4,1.3,0.3,https://www.instagram.com/okayu_life/
homey__huess,S,활성,1760879,20197251,479.9,5651,27396.8,0.8,0.2,https://www.instagram.com/homey__huess/
justjennsdesign,S,활성,1636591,16657620,608.3,6652,46209.8,3.5,0.1,https://www.instagram.com/justjennsdesign/
nomoney_cook,S,활성,1590644,5694018,189.2,902,26547.9,0.1,0.4,https://www.instagram.com/nomoney_cook/
shopdulvo,S,활성,1451169,8451944,440.1,3035,36294.7,2.7,0.2,https://www.instagram.com/shopdulvo/
koharufinds,S,활성,1399062,2971528,7038.5,15737,3505.2,9.9,1.2,https://www.instagram.com/koharufinds/
temjoaa,S,활성,1349459,14217133,664.2,4114,38864.2,1.7,0.5,https://www.instagram.com/temjoaa/
needlenina,S,활성,1341292,10313750,616.8,3229,33383.2,1.9,0.1,https://www.instagram.com/needlenina/
5452__home,S,활성,1275032,11397450,560.8,2579,8764.6,0.1,0.2,https://www.instagram.com/5452__home/
salimemohouse,S,활성,1259005,5173735,801.8,3043,14147.2,2.1,0.1,https://www.instagram.com/salimemohouse/
kbeauty_vivian,S,활성,1255039,6086652,79.9,594,5233.7,1.5,0.3,https://www.instagram.com/kbeauty_vivian/
hodu_egloo,S,활성,1209287,7551028,773.9,6063,27527.6,0.2,0.2,https://www.instagram.com/hodu_egloo/
the_edit.co.kr,S,활성,1206965,5835918,218.5,1006,5430.2,0.3,0.3,https://www.instagram.com/the_edit.co.kr/
nata__nara,S,활성,1161374,6027571,499.7,4113,16868.9,1.2,0.1,https://www.instagram.com/nata__nara/
maybeeeeeen,S,활성,1123086,6218349,118.4,699,7577.8,2.0,0.1,https://www.instagram.com/maybeeeeeen/
jjin_camperny,S,활성,1114873,7356448,3694.8,17900,7945.8,1.1,0.1,https://www.instagram.com/jjin_camperny/
yummyhome_j,S,활성,1099237,5862992,1010.4,10018,6987.6,0.1,0.3,https://www.instagram.com/yummyhome_j/
lu_lu_tem,S,활성,1096518,8724696,3030.8,16185,13108.4,0.1,0.4,https://www.instagram.com/lu_lu_tem/
coquelicot_day,S,활성,1090716,8637860,1808.3,19328,753.9,2.0,0.2,https://www.instagram.com/coquelicot_day/
insaeng.kr,S,저활동(14일+),1043277,6187177,1463.9,11954,10197.5,30.9,0.3,https://www.instagram.com/insaeng.kr/
mama_zones,S,활성,1037461,4717609,797.5,4288,3607.2,5.0,0.1,https://www.instagram.com/mama_zones/
