  ...10/852  ok=9 fail=1
  ...20/852  ok=19 fail=1
  ...30/852  ok=28 fail=2
  ...40/852  ok=38 fail=2
  ...50/852  ok=48 fail=2
  ...60/852  ok=58 fail=2
  ...70/852  ok=67 fail=3
  ...80/852  ok=77 fail=3
  ...90/852  ok=86 fail=4
  ...100/852  ok=95 fail=5
  ...110/852  ok=104 fail=6
  ...120/852  ok=113 fail=7
  ...130/852  ok=122 fail=8
  ...140/852  ok=130 fail=10
  ...150/852  ok=140 fail=10
  ...160/852  ok=149 fail=11
  ...170/852  ok=159 fail=11
  ...180/852  ok=169 fail=11
  ...190/852  ok=176 fail=14
  ...200/852  ok=186 fail=14
  ...210/852  ok=196 fail=14
  ...220/852  ok=205 fail=15
  ...230/852  ok=213 fail=17
  ...240/852  ok=223 fail=17
  ...250/852  ok=232 fail=18
  ...260/852  ok=240 fail=20
  ...270/852  ok=250 fail=20
  ...280/852  ok=260 fail=20
  ...290/852  ok=269 fail=21
  ...300/852  ok=279 fail=21
  ...310/852  ok=288 fail=22
  ...320/852  ok=297 fail=23
  ...330/852  ok=307 fail=23
  ...340/852  ok=317 fail=23
  ...350/852  ok=325 fail=25
  ...360/852  ok=334 fail=26
  ...370/852  ok=342 fail=28
  ...380/852  ok=351 fail=29
  ...390/852  ok=361 fail=29
  ...400/852  ok=370 fail=30
  ...410/852  ok=379 fail=31
  ...420/852  ok=388 fail=32
  ...430/852  ok=397 fail=33
  ...440/852  ok=407 fail=33
  ...450/852  ok=415 fail=35
  ...460/852  ok=424 fail=36
  ...470/852  ok=432 fail=38
  ...480/852  ok=442 fail=38
  ...490/852  ok=452 fail=38
  ...500/852  ok=462 fail=38
  ...510/852  ok=471 fail=39
  ...520/852  ok=481 fail=39
  ...530/852  ok=490 fail=40
  ...540/852  ok=499 fail=41
  ...550/852  ok=509 fail=41
  ...560/852  ok=516 fail=44
  ...570/852  ok=525 fail=45
  ...580/852  ok=534 fail=46
  ...590/852  ok=542 fail=48
  ...600/852  ok=552 fail=48
  ...610/852  ok=562 fail=48
  ...620/852  ok=569 fail=51
  ...630/852  ok=578 fail=52
  ...640/852  ok=588 fail=52
  ...650/852  ok=598 fail=52
  ...660/852  ok=607 fail=53
  ...670/852  ok=615 fail=55
  ...680/852  ok=625 fail=55
  ...690/852  ok=635 fail=55
  ...700/852  ok=643 fail=57
  ...710/852  ok=652 fail=58
  ...720/852  ok=662 fail=58
  ...730/852  ok=671 fail=59
  ...740/852  ok=680 fail=60
  ...750/852  ok=687 fail=63
  ...760/852  ok=697 fail=63
  ...770/852  ok=706 fail=64
  ...780/852  ok=715 fail=65
  ...790/852  ok=723 fail=67
  ...800/852  ok=733 fail=67
  ...810/852  ok=743 fail=67
  ...820/852  ok=753 fail=67
  ...830/852  ok=760 fail=70
  ...840/852  ok=769 fail=71
  ...850/852  ok=779 fail=71
자막 확보: 781 | 실패: 71
